Category,Number of Source,Number of Sink
CALENDAR_INFORMATION,246,66
DATABASE_INFORMATION,137,-
VOIP,-,33
LOCATION_INFORMATION,196,29
PHONE_STATE,-,42
BLUETOOTH_INFORMATION,295,-
PHONE_CONNECTION,-,36
AUDIO,-,104
FILE,-,239
UNIQUE_IDENTIFIER,151,-
LOG,-,190
ACCOUNT_INFORMATION,50,-
ACCOUNT_SETTINGS,-,73
CONTACT_INFORMATION,988,293
FILE_INFORMATION,109,-
SYSTEM_SETTINGS,338,479
SYNCHRONIZATION_DATA,78,61
NO_CATEGORY,11058,4978
NFC,217,79
BLUETOOTH,-,143
IMAGE,693,-
NETWORK,-,379
NETWORK_INFORMATION,2318,-
EMAIL,39,221
BROWSER_INFORMATION,354,31
SMS_MMS,105,308
